Name,Sector,Instrument,Assets
Larsen & Toubro Ltd.,Construction,Equity,9.47%
ICICI Bank Ltd.,Financial,Equity,6.00%
Interglobe Aviation Ltd.,Services,Equity,5.58%
NTPC Ltd.,Energy,Equity,5.34%
Reliance Industries Ltd.,Energy,Equity,5.24%
Oil And Natural Gas Corporation Ltd.,Energy,Equity,4.68%
Bharti Airtel Ltd.,Communication,Equity,4.63%
Axis Bank Ltd.,Financial,Equity,3.80%
Power Grid Corporation Of India Ltd.,Energy,Equity,3.51%
Tata Power Company Ltd.,Energy,Equity,2.82%
Sobha Ltd.,Construction,Equity,2.73%
Kei Industries Ltd.,Capital Goods,Equity,2.36%
NCC Ltd.,Construction,Equity,2.25%
Tata Steel Ltd.,Metals & Mining,Equity,2.25%
Kirloskar Pneumatic Company Ltd.,Capital Goods,Equity,2.08%
Delhivery Ltd.,Services,Equity,2.08%
APL Apollo Tubes Ltd.,Metals & Mining,Equity,2.00%
Cummins India Ltd.,Capital Goods,Equity,1.98%
Ion Exchange (India) Ltd.,Capital Goods,Equity,1.97%
Indus Towers Ltd.,Communication,Equity,1.91%
Dalmia Bharat Ltd.,Construction,Equity,1.87%
Amber Enterprises India Ltd.,Consumer Discretionary,Equity,1.87%
Syrma SGS Technology Ltd.,Capital Goods,Equity,1.72%
State Bank of India,Financial,Equity,1.65%
SKF India Ltd.,Capital Goods,Equity,1.53%
Bharat Petroleum Corporation Ltd.,Energy,Equity,1.53%
Indiamart Intermesh Ltd.,Services,Equity,1.47%
Kirloskar Oil Engines Ltd.,Capital Goods,Equity,1.38%
Container Corporation Of India Ltd.,Services,Equity,1.26%
Praj Industries Ltd.,Capital Goods,Equity,1.25%
JK Lakshmi Cement Ltd.,Construction,Equity,1.22%
Maruti Suzuki India Ltd.,Automobile,Equity,0.99%
GAIL (India) Ltd.,Energy,Equity,0.99%
Gateway Distriparks Ltd.,Services,Equity,0.87%
Techno Electric & Engineering Company Ltd.,Capital Goods,Equity,0.73%
Somany Ceramics Ltd.,Construction,Equity,0.59%
Brigade Enterprises Ltd.,Construction,Equity,0.38%
ISGEC Heavy Engineering Ltd.,Capital Goods,Equity,0.25%
